"","HHID","PN","OPN_SP","OLB018A","OLB018B","OLB018C","OLB018D","OLB018E","OLB018F","OLB018G","OLB018H","OLB018I","OLB018J","OLB004A","OLB004B","OLB004C","OLB004D","OLB004E","OLB004F","OLB004G","OLB005","OLB005A","OLB005B","respondent_id","spouse_id"
"46",11332,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11332020,11332010
"47",11345,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11345010,11345020
"48",11345,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11345020,11345010
"49",11347,20,30,5,5,5,5,2,1,2,1,4,2,3,2,2,3,2,3,3,1,2,2,11347020,11347030
"50",11347,30,20,1,4,3,4,1,1,1,1,1,1,1,1,1,4,4,4,4,1,2,1,11347030,11347020
"51",11368,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11368010,11368020
"52",11368,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11368020,11368010
"53",11377,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11377010,11377040
"54",11377,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11377040,11377010
"55",11608,40,10,1,6,1,1,1,1,1,1,1,1,3,3,2,4,1,3,2,3,3,3,11608040,11608010
"56",11611,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11611010,11611011
"57",11612,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11612010,11612040
"58",11620,10,40,1,3,3,4,1,4,1,1,1,1,2,1,2,3,3,3,3,2,2,2,11620010,11620040
"59",11620,40,10,2,4,5,5,1,1,2,1,3,1,1,1,1,3,3,3,3,2,2,2,11620040,11620010
"60",11626,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11626010,11626011
"61",11626,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11626011,11626010
"62",11694,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11694010,11694020
"63",11694,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11694020,11694010
"64",11802,10,11,2,2,1,1,3,5,2,1,2,1,1,1,1,4,4,3,4,2,2,1,11802010,11802011
"65",11802,11,10,1,4,6,6,1,1,2,1,4,1,4,1,3,3,3,4,1,3,3,2,11802011,11802010
"66",11810,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11810010,11810020
"67",11841,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11841010,11841011
"68",11854,10,20,3,5,4,4,5,4,3,2,4,4,2,2,2,3,2,2,2,NA,3,2,11854010,11854020
"69",11854,20,10,2,1,2,2,NA,1,1,2,NA,NA,1,1,NA,3,4,NA,2,1,2,2,11854020,11854010
"70",11881,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11881010,11881011
"71",11881,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11881011,11881010
"72",11911,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11911010,11911040
"73",11911,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11911040,11911010
"74",11983,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11983040,11983010
"75",11993,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11993010,11993020
"76",11993,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11993020,11993010
"77",11999,10,20,2,6,5,6,1,1,1,1,1,1,2,1,1,3,3,4,3,1,1,1,11999010,11999020
"78",11999,20,10,4,5,5,6,2,2,2,1,3,2,1,1,1,3,4,4,3,1,1,1,11999020,11999010
"79",12009,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12009010,12009040
"80",12009,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12009040,12009010
"81",12124,20,30,1,6,6,6,2,1,1,1,1,1,1,1,2,2,2,4,2,1,1,1,12124020,12124030
"82",12124,30,20,3,2,2,1,3,2,4,4,2,4,2,1,1,3,1,3,2,1,3,2,12124030,12124020
"83",12135,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12135020,12135030
"84",12135,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12135030,12135020
"85",12166,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12166010,12166040
"86",12166,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12166040,12166010
"87",12196,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12196010,12196020
"88",12196,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12196020,12196010
"89",12218,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12218010,12218020
"90",12218,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12218020,12218010
"91",12232,10,40,4,5,2,1,3,4,5,2,6,2,2,1,2,4,4,3,4,1,2,2,12232010,12232040
"92",12232,40,10,3,1,6,3,2,3,3,2,2,2,1,1,1,3,4,4,3,1,2,2,12232040,12232010
"93",12235,10,40,1,6,6,6,1,1,1,1,1,1,3,1,3,3,1,3,2,3,NA,3,12235010,12235040
"94",12235,40,10,2,5,4,5,1,1,1,1,2,1,3,2,4,2,2,2,2,3,3,2,12235040,12235010
"95",12242,10,20,1,2,4,5,1,1,2,4,2,1,1,1,1,4,3,4,4,1,1,2,12242010,12242020
"96",12242,20,10,4,5,1,1,1,1,1,1,1,1,3,1,1,1,3,4,4,1,2,1,12242020,12242010
"97",12243,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12243020,12243030
"98",12243,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12243030,12243020
"99",12273,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12273010,12273040
"100",12273,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12273040,12273010
"101",12274,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12274010,12274020
"102",12274,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12274020,12274010
"103",12276,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12276020,12276030
"104",12276,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12276030,12276020
