"","HHID","PN","OPN_SP","OLB018A","OLB018B","OLB018C","OLB018D","OLB018E","OLB018F","OLB018G","OLB018H","OLB018I","OLB018J","OLB004A","OLB004B","OLB004C","OLB004D","OLB004E","OLB004F","OLB004G","OLB005","OLB005A","OLB005B","respondent_id","spouse_id"
"1550",40111,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40111040,40111010
"1551",40126,10,20,3,5,5,5,1,1,1,1,1,1,2,1,1,4,4,4,4,1,1,2,40126010,40126020
"1552",40126,20,10,3,5,5,5,5,1,1,1,1,1,1,1,2,4,2,4,4,1,1,2,40126020,40126010
"1553",40153,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40153010,40153020
"1554",40153,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40153020,40153010
"1555",40158,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40158020,40158021
"1556",40158,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40158021,40158020
"1557",40180,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40180010,40180011
"1558",40180,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40180011,40180010
"1559",40223,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40223010,40223020
"1560",40223,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40223020,40223010
"1561",40260,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40260010,40260020
"1562",40260,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40260020,40260010
"1563",40277,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40277010,40277020
"1564",40277,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40277020,40277010
"1565",40279,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40279010,40279040
"1566",40279,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40279040,40279010
"1567",40280,10,40,2,5,5,6,2,2,2,1,2,1,2,3,3,3,2,4,3,2,2,2,40280010,40280040
"1568",40280,40,10,5,5,5,5,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,40280040,40280010
"1569",40294,10,20,3,5,5,5,2,2,2,2,2,2,1,1,1,4,4,4,4,1,2,2,40294010,40294020
"1570",40294,20,10,1,5,5,6,1,1,1,1,1,1,1,1,2,3,4,4,3,2,2,1,40294020,40294010
"1571",40376,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40376010,40376020
"1572",40376,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40376020,40376010
"1573",40388,10,20,1,6,5,6,1,5,1,1,1,1,1,1,1,4,3,4,4,1,2,2,40388010,40388020
"1574",40388,20,10,2,5,5,6,3,1,1,1,1,1,2,1,1,4,3,4,3,1,2,2,40388020,40388010
"1575",40398,10,11,2,4,4,6,1,3,3,4,3,2,2,1,1,2,3,4,3,2,2,1,40398010,40398011
"1576",40398,11,10,1,5,6,6,1,1,4,3,5,1,2,4,2,1,3,3,2,3,4,2,40398011,40398010
"1577",40435,20,30,2,5,4,5,1,1,3,5,4,2,2,1,2,3,3,3,3,2,2,3,40435020,40435030
"1578",40435,30,20,1,6,6,6,1,1,1,1,1,1,2,3,3,2,1,2,2,3,3,3,40435030,40435020
"1579",40438,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40438010,40438040
"1580",40438,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40438040,40438010
"1581",40441,10,20,6,5,6,6,4,4,6,6,6,4,1,1,1,1,4,4,2,1,1,1,40441010,40441020
"1582",40441,20,10,6,4,NA,6,5,5,6,6,4,6,1,1,1,4,4,4,4,1,1,1,40441020,40441010
"1583",40475,10,20,5,6,5,5,3,3,3,1,3,1,2,1,1,3,3,3,3,2,2,1,40475010,40475020
"1584",40475,20,10,2,4,3,4,2,2,2,2,2,2,1,1,1,4,3,4,4,1,2,2,40475020,40475010
"1585",40609,10,20,1,5,4,6,1,1,1,1,1,1,2,1,1,4,3,4,4,2,1,2,40609010,40609020
"1586",40609,20,10,1,6,2,6,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,2,40609020,40609010
"1587",40623,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40623010,40623020
"1588",40623,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40623020,40623010
"1589",40651,40,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40651040,40651041
"1590",40651,41,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40651041,40651040
"1591",40692,10,40,5,5,5,6,6,5,5,6,5,5,2,1,1,4,4,4,4,1,1,1,40692010,40692040
"1592",40692,40,10,4,6,6,6,2,1,3,1,2,1,1,1,1,3,3,4,3,1,1,2,40692040,40692010
"1593",40717,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40717010,40717020
"1594",40717,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,4,4,3,2,2,2,40717020,40717010
"1595",40782,20,30,4,4,5,4,3,3,5,3,4,3,1,1,1,2,2,4,3,1,2,2,40782020,40782030
"1596",40782,30,20,2,5,4,6,1,1,1,1,1,1,2,1,2,3,3,3,3,2,2,1,40782030,40782020
"1597",40785,10,20,2,5,5,5,2,1,5,1,1,1,2,2,2,3,3,3,3,2,3,2,40785010,40785020
"1598",40785,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40785020,40785010
"1599",40870,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40870010,40870011
"1600",40870,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40870011,40870010
"1601",40875,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40875010,40875040
"1602",40875,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40875040,40875010
"1603",40905,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40905010,40905020
"1604",40905,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40905020,40905010
"1605",40908,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40908010,40908011
"1606",40908,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40908011,40908010
"1607",40913,10,20,2,6,5,5,1,1,1,1,1,1,2,1,1,4,4,4,4,2,2,2,40913010,40913020
"1608",40913,20,10,4,2,1,3,3,4,6,2,2,1,1,1,2,4,3,4,4,1,2,2,40913020,40913010
"1609",40918,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40918020,40918030
"1610",40918,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40918030,40918020
"1611",40929,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40929020,40929030
"1612",40929,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40929030,40929020
"1613",41028,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41028010,41028040
"1614",41028,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41028040,41028010
"1615",41037,10,40,2,5,5,6,1,1,1,1,1,1,1,1,1,3,4,3,3,1,1,1,41037010,41037040
"1616",41037,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41037040,41037010
"1617",41046,10,20,5,5,5,6,1,1,5,1,5,1,2,1,2,4,2,4,3,1,2,1,41046010,41046020
"1618",41046,20,10,2,5,5,5,1,2,4,1,4,4,1,1,1,2,3,4,3,1,2,1,41046020,41046010
"1619",41047,10,11,5,2,3,2,4,5,3,2,3,3,2,1,3,3,1,4,3,3,3,3,41047010,41047011
"1620",41047,11,10,2,4,3,3,2,5,3,3,6,3,3,3,3,1,3,2,3,4,3,3,41047011,41047010
"1621",41059,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41059010,41059020
"1622",41059,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41059020,41059010
"1623",41067,10,40,4,6,6,6,2,1,1,2,2,3,1,1,1,3,3,4,3,1,2,1,41067010,41067040
"1624",41067,40,10,5,1,5,1,4,2,1,2,2,3,1,1,1,2,2,4,2,1,2,1,41067040,41067010
"1625",41119,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41119010,41119020
"1626",41119,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41119020,41119010
"1627",41141,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41141010,41141020
"1628",41141,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41141020,41141010
"1629",41157,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41157010,41157011
"1630",41157,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41157011,41157010
"1631",41188,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41188020,41188030
"1632",41188,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41188030,41188020
"1633",41220,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41220020,41220030
"1634",41220,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41220030,41220020
"1635",41232,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41232010,41232040
"1636",41232,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41232040,41232010
"1637",41238,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41238010,41238040
"1638",41238,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41238040,41238010
"1639",41306,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41306010,41306040
"1640",41306,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41306040,41306010
"1641",41309,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41309010,41309020
"1642",41309,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41309020,41309010
"1643",41313,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41313010,41313040
"1644",41313,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41313040,41313010
"1645",41325,10,40,1,5,4,5,1,1,2,3,2,2,2,1,2,3,3,3,2,1,2,2,41325010,41325040
"1646",41325,40,10,1,6,5,6,5,6,1,5,1,1,1,1,1,3,4,3,3,1,1,2,41325040,41325010
"1647",41342,10,20,2,6,5,6,1,2,1,1,2,1,1,1,2,3,4,4,4,1,1,2,41342010,41342020
"1648",41342,20,10,2,5,5,6,1,1,2,1,1,2,1,1,1,3,3,3,3,1,2,2,41342020,41342010
"1649",41364,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41364020,41364030
"1650",41364,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41364030,41364020
"1651",41367,10,20,1,4,4,1,3,2,5,1,3,1,2,1,1,2,3,2,4,1,2,2,41367010,41367020
"1652",41367,20,10,5,5,5,5,5,5,5,5,5,5,2,2,3,3,4,3,4,1,2,1,41367020,41367010
"1653",41380,10,20,NA,4,3,5,1,5,5,1,1,1,2,1,1,4,3,4,3,1,2,1,41380010,41380020
"1654",41380,20,10,2,6,6,6,1,1,1,1,1,1,1,1,1,4,4,4,4,1,2,2,41380020,41380010
"1655",41474,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41474020,41474021
"1656",41544,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41544010,41544040
"1657",41544,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41544040,41544010
"1658",41590,40,42,3,4,4,4,2,2,4,4,4,3,1,1,1,4,4,4,3,1,1,1,41590040,41590042
"1659",41590,42,40,1,1,1,6,1,1,1,1,1,1,2,1,1,2,4,4,2,1,2,1,41590042,41590040
"1660",41670,10,20,1,6,6,6,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,41670010,41670020
"1661",41670,20,10,1,5,5,5,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,41670020,41670010
"1662",41671,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41671020,41671030
"1663",41671,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41671030,41671020
"1664",41687,10,20,4,2,1,1,1,NA,1,1,1,1,2,1,2,4,4,4,3,2,3,2,41687010,41687020
"1665",41687,20,10,3,4,3,4,2,2,3,3,3,4,2,1,1,3,3,4,3,2,3,1,41687020,41687010
"1666",41706,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41706010,41706040
"1667",41706,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41706040,41706010
"1668",41711,20,30,1,6,5,6,1,1,1,1,1,1,1,1,1,4,4,4,4,1,2,2,41711020,41711030
"1669",41711,30,20,1,6,6,6,1,1,1,1,1,1,1,1,1,2,2,4,4,2,2,1,41711030,41711020
"1670",41838,10,20,3,5,5,5,3,3,3,1,1,1,1,1,1,4,3,4,4,1,2,2,41838010,41838020
"1671",41838,20,10,4,4,5,4,3,3,3,3,3,3,2,1,1,3,4,4,3,2,3,2,41838020,41838010
"1672",41849,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41849010,41849020
"1673",41849,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41849020,41849010
"1674",41879,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41879010,41879040
"1675",41879,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41879040,41879010
"1676",41941,10,20,6,6,6,6,6,1,1,1,1,1,1,1,1,3,4,4,3,1,1,2,41941010,41941020
"1677",41941,20,10,6,6,5,5,5,5,1,1,1,1,1,1,1,3,3,4,3,1,1,2,41941020,41941010
"1678",41942,10,40,6,5,5,6,4,2,4,4,5,2,3,3,3,2,2,1,2,3,4,2,41942010,41942040
"1679",41942,40,10,6,5,5,5,4,5,5,3,2,1,2,1,2,3,1,3,1,3,3,2,41942040,41942010
"1680",41953,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41953010,41953040
"1681",41953,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41953040,41953010
"1682",41979,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41979010,41979020
"1683",41979,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41979020,41979010
"1684",42005,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42005010,42005040
"1685",42005,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42005040,42005010
"1686",42062,10,20,1,1,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,1,1,1,42062010,42062020
"1687",42062,20,10,2,4,NA,3,NA,5,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,42062020,42062010
"1688",42155,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42155010,42155040
"1689",42155,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42155040,42155010
"1690",42164,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42164010,42164040
"1691",42164,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42164040,42164010
"1692",42259,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42259010,42259020
"1693",42259,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42259020,42259010
"1694",42290,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42290010,42290020
"1695",42290,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42290020,42290010
"1696",42336,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42336010,42336020
"1697",42336,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42336020,42336010
"1698",42355,10,20,3,6,5,6,4,6,5,6,5,3,2,1,1,4,4,4,4,2,NA,1,42355010,42355020
"1699",42355,20,10,3,1,4,4,5,3,4,2,2,3,1,1,NA,4,4,4,3,2,2,1,42355020,42355010
"1700",42407,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42407010,42407020
"1701",42407,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42407020,42407010
"1702",42496,10,20,1,6,6,6,1,1,1,1,1,1,1,1,1,3,3,4,3,1,1,2,42496010,42496020
"1703",42496,20,10,4,4,3,5,2,2,5,1,5,5,2,1,3,3,3,3,3,2,1,2,42496020,42496010
"1704",42503,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42503010,42503020
"1705",42529,20,30,2,5,5,5,1,1,2,1,2,1,1,1,1,3,3,4,3,1,2,2,42529020,42529030
"1706",42529,30,20,2,2,4,4,2,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,42529030,42529020
"1707",42645,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42645010,42645020
"1708",42645,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42645020,42645010
"1709",42667,20,30,2,3,6,6,5,5,3,1,5,5,2,1,1,3,4,4,4,1,2,2,42667020,42667030
"1710",42667,30,20,3,5,6,6,2,1,1,1,1,1,2,1,2,4,4,4,3,2,2,2,42667030,42667020
"1711",42753,10,20,2,5,4,5,2,2,2,1,1,1,2,1,1,4,4,4,4,2,2,2,42753010,42753020
"1712",42753,20,10,1,5,6,6,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,2,42753020,42753010
"1713",42776,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42776010,42776020
"1714",42776,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42776020,42776010
"1715",42814,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42814010,42814020
"1716",42814,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42814020,42814010
"1717",42833,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42833010,42833040
"1718",42833,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42833040,42833010
"1719",42844,10,20,1,4,5,6,5,3,1,1,6,1,1,1,1,4,4,4,4,1,1,2,42844010,42844020
"1720",42844,20,10,3,5,5,5,1,1,4,1,1,1,3,1,1,3,3,4,4,1,1,1,42844020,42844010
"1721",42938,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42938010,42938011
"1722",42938,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42938011,42938010
"1723",42943,10,20,1,5,5,6,1,1,1,1,2,1,2,1,1,4,3,3,3,2,2,2,42943010,42943020
"1724",42943,20,10,1,6,6,6,1,1,1,1,1,1,2,1,2,3,3,4,3,2,3,2,42943020,42943010
"1725",42946,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42946010,42946020
"1726",42946,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42946020,42946010
"1727",43151,10,11,1,6,6,6,1,1,1,1,1,1,1,1,1,4,3,4,3,1,2,1,43151010,43151011
"1728",43151,11,10,1,4,4,5,1,1,3,1,1,1,1,1,2,3,2,3,2,2,2,1,43151011,43151010
"1729",43231,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43231010,43231020
"1730",43231,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43231020,43231010
"1731",43292,10,40,2,5,6,6,1,1,1,1,1,1,1,1,2,3,3,3,3,2,2,2,43292010,43292040
"1732",43292,40,10,5,5,5,5,3,5,5,4,4,3,1,1,1,4,3,2,4,1,1,1,43292040,43292010
"1733",43295,10,12,1,5,3,5,1,1,4,3,3,2,4,1,4,2,1,3,1,1,2,2,43295010,43295012
"1734",43295,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43295012,43295010
"1735",43345,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43345010,43345020
"1736",43345,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43345020,43345010
"1737",43354,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43354010,43354040
"1738",43354,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43354040,43354010
"1739",43372,10,20,NA,6,6,NA,1,1,1,1,1,1,2,1,1,3,4,3,4,2,2,2,43372010,43372020
"1740",43372,20,10,1,6,6,6,1,1,1,1,1,1,1,1,1,2,4,4,4,1,2,1,43372020,43372010
"1741",43381,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43381010,43381011
"1742",43381,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43381011,43381010
"1743",43437,10,11,5,2,2,2,3,4,5,5,3,3,2,1,1,4,4,2,4,1,3,2,43437010,43437011
